,CO_NLST,NO2_NLST,O3_NLST,SO2_NLST,HCHO_NLST,CO_NDVI,NO2_NDVI,O3_NDVI,SO2_NDVI,HCHO_NDVI
Mar-22,0.505481469,0.160021528,0.132481431,0.089268617,0.055057748,-0.240301282,-0.636340327,0.486313932,-0.000329103,-0.458777816
Apr-22,0.341473162,0.258337167,0.170940304,-0.028064792,0.215101797,0.008563622,-0.27195181,0.270129319,0.21742488,-0.097773105
May-22,0.560430384,0.607274771,0.265753494,0.127075204,0.430877847,-0.305490041,-0.245043815,-0.118712867,-0.036215109,-0.192188877
Jun-22,0.503722578,0.729686435,0.164834935,0.008856375,0.348506178,-0.194734466,-0.396767998,-0.154662526,0.040607056,-0.092629742
Jul-22,0.293593846,0.219976047,0.180323312,-0.039153636,0.025156429,-0.087148764,-0.086413895,-0.079000508,0.063082088,-0.125894101
Aug-22,0.223850094,-0.14270144,0.077092692,0.00781786,-0.092219361,0.125490019,-0.380664087,0.084661073,0.085459572,-0.101432081
Sep-22,0.336651526,0.154941161,0.008472423,0.0172708,-0.00082509,-0.03089868,-0.361689188,0.265830827,0.1540049,-0.219927278
Oct-22,0.40416918,-0.036753523,0.178526062,0.075718645,0.015225598,-0.326930998,-0.404529859,0.162248647,-0.038095977,-0.266582219
Nov-22,0.175961701,0.201768237,0.443625406,-0.018567355,0.055073698,-0.139941688,-0.385817538,0.180264346,-0.112933758,-0.146649617
Dec-22,0.542168369,-0.182149771,0.439600119,0.069012886,0.20665617,-0.258177987,-0.314966319,0.131205163,-0.063376035,-0.210446551
Jan-23,0.562656088,0.038232479,0.368145444,0.016021988,0.187717829,-0.158559065,-0.526300136,0.283915473,-0.060087717,-0.279098976
Feb-23,0.047185535,-0.15426955,0.156328048,0.162311034,-0.104181116,-0.295288608,-0.619835373,0.060325513,0.11528902,-0.463939948
Mar-23,0.555352779,0.083066333,0.282268431,0.115171724,0.123790251,-0.095826371,-0.439197978,0.466372588,0.032542567,-0.153405831
Apr-23,0.448896154,0.298313144,0.107571816,-0.068211993,0.156985549,-0.062482802,-0.275344077,0.157578546,0.049368921,-0.007493685
May-23,0.608993529,0.568126489,0.235294938,-0.164665971,0.388107804,-0.139044549,-0.143054006,-0.265751725,0.08562765,-0.15753074
Jun-23,0.518119545,0.490225326,0.318489943,-0.04003609,0.366682798,-0.094630728,-0.038736171,-0.09696326,-0.019778949,-0.046941827
Jul-23,-0.097864237,0.192804864,-0.068626638,-0.009709832,-0.019195823,0.044379588,0.018682375,0.218472857,0.12074358,0.166103156
Aug-23,0.502408539,0.595327996,0.053495895,-0.017297167,0.291961445,0.231957061,-0.14224172,0.145568945,-0.061750594,-0.0377519
Sep-23,-0.053553636,0.02602388,0.17149641,-0.205747876,-0.009077832,0.237816245,-0.336652828,-0.257255891,0.007527376,-0.287478244
Oct-23,0.396259424,-0.101228304,0.325014558,0.018133217,-0.049293508,-0.26573759,-0.380368079,0.051483842,0.115322224,-0.217650684
Nov-23,0.300932947,0.307103329,0.218731316,0.014066467,0.133069375,-0.109422133,-0.258884153,-0.088377827,0.036481712,-0.033761215
Dec-23,0.442250901,0.020837981,0.311104757,0.069963954,0.102596043,-0.07327506,-0.140532619,-0.073335605,-0.090576999,-0.036104107
Mean,0.341601132,0.148313321,0.248842417,0.004141948,0.102634095,-0.056233956,-0.233280315,0.070109413,0.003617684,-0.090301048
